idsensor;sensortype;srtDate;battery_level;device_temperature;sequence_number;status;
jzp://edv#0125.0000;ReedSensor;2019-02-02T00:31:39.415+01:00;3.25;24.0;0.0;0.0;
jzp://edv#0125.0000;ReedSensor;2019-02-03T00:31:48.397+01:00;3.25;24.0;0.0;0.0;
jzp://edv#0125.0000;ReedSensor;2019-02-05T00:32:01.473+01:00;3.25;25.0;0.0;0.0;
jzp://edv#0125.0000;ReedSensor;2019-02-06T00:32:18.025+01:00;3.25;24.0;0.0;0.0;
jzp://edv#0125.0000;ReedSensor;2019-02-07T00:32:23.576+01:00;3.25;24.0;0.0;0.0;
jzp://edv#0125.0000;ReedSensor;2019-02-08T00:31:34.506+01:00;3.25;24.0;0.0;0.0;
jzp://edv#0125.0000;ReedSensor;2019-02-09T00:32:16.128+01:00;3.25;25.0;0.0;0.0;
jzp://edv#0125.0000;ReedSensor;2019-02-10T00:31:41.926+01:00;3.25;24.0;0.0;1.0;
jzp://edv#0125.0000;ReedSensor;2019-02-12T00:31:50.273+01:00;3.25;25.0;0.0;0.0;
jzp://edv#0125.0000;ReedSensor;2019-02-13T00:32:34.747+01:00;3.25;25.0;0.0;0.0;
jzp://edv#0125.0000;ReedSensor;2019-02-14T00:31:56.848+01:00;3.25;25.0;0.0;0.0;
jzp://edv#0125.0000;ReedSensor;2019-02-15T00:32:28.385+01:00;3.25;25.0;0.0;0.0;
jzp://edv#0125.0000;ReedSensor;2019-02-16T00:32:02.870+01:00;3.25;25.0;0.0;0.0;
jzp://edv#0125.0000;ReedSensor;2019-02-17T00:32:07.704+01:00;3.25;24.0;0.0;0.0;
jzp://edv#0125.0000;ReedSensor;2019-02-18T00:32:10.281+01:00;3.25;23.0;0.0;0.0;
jzp://edv#0125.0000;ReedSensor;2019-02-19T00:31:24.947+01:00;3.25;24.0;0.0;0.0;
jzp://edv#0125.0000;ReedSensor;2019-02-20T00:32:44.160+01:00;3.25;25.0;0.0;0.0;
jzp://edv#0125.0000;ReedSensor;2019-02-21T00:31:47.162+01:00;3.25;25.0;0.0;0.0;
jzp://edv#0125.0000;ReedSensor;2019-02-22T00:32:00.672+01:00;3.25;25.0;0.0;0.0;
jzp://edv#0125.0000;ReedSensor;2019-02-23T00:31:58.609+01:00;3.25;25.0;0.0;0.0;
jzp://edv#0125.0000;ReedSensor;2019-02-24T00:32:08.947+01:00;3.25;25.0;0.0;0.0;
jzp://edv#0125.0000;ReedSensor;2019-02-25T00:31:59.000+01:00;3.25;24.0;0.0;0.0;
jzp://edv#0125.0000;ReedSensor;2019-02-26T00:32:01.905+01:00;3.25;25.0;0.0;0.0;
jzp://edv#0125.0000;ReedSensor;2019-02-27T00:32:20.961+01:00;3.25;25.0;0.0;0.0;
jzp://edv#0125.0000;ReedSensor;2019-03-01T00:32:04.850+01:00;3.25;25.0;0.0;0.0;
